X,A,B,C,D
31256,0.3,-0.46875,1.7,0
31257,0.3,-0.28125,1.4,5
31258,0.3,-0.375,1.1,5
31259,0.3,-0.375,0.7,20
31260,0.3,-0.28125,1.7,10
31261,0.3,-0.375,1.6,0
31262,0.3,-0.375,1.4,0
31263,0.3,-0.375,1.2,0
31264,0.3,-0.375,1.2,0
31265,0.3,-0.28125,1,0
31266,0.3,-0.46875,1.1,0
31267,0.3,-0.375,1,0
31268,0.3,-0.375,1.1,0
31269,0.3,-0.28125,0.4,5
31270,0.3,-0.375,0.8,10
31271,0.3,-0.375,1.3,5
31272,0.3,-0.46875,1.3,0
31273,0.3,-0.375,1.3,0
31274,0.3,-0.375,1.3,0
31275,0.3,-0.375,1.4,0
31276,0.3,-0.375,1.5,0
31277,0.3,-0.46875,1.4,0
31278,0.3,-0.28125,1.3,0
31279,0.3,-0.46875,1.3,0
31280,0.3,-0.5625,1,5
31281,0.3,-0.28125,0.7,5
31282,82.5,-10.6875,1.2,0
31283,73.8,-10.5,1,0
31284,51.6,-9.125,1,0
31285,39.6,-6.9375,1.1,0
31286,29.1,-6.0625,1,0
31287,20.7,-4.90625,1.2,0
31288,9.6,-3.125,2.8,15
31289,7.8,-1.84375,7.6,50
31290,1.8,-1.46875,21.2,135
31291,-0.3,-0.375,47.6,265
31292,0.6,-0.28125,82.4,350
31293,0.3,-0.1875,123.9,415
31294,0.3,-0.09375,171.5,475
31295,0.3,-0.09375,223.2,515
31296,0.3,-0.09375,252.9,295
31297,0.3,0.28125,279.9,270
31298,0.3,0.09375,309,290
31299,0.3,0.1875,338.2,290
31300,0.3,0.28125,369.2,310
31301,0.3,0.28125,390.1,210
31302,0.3,0.5625,397.6,75
31303,0.3,0.875,397.1,5
31304,0.3,1.0625,397,0
31305,0.3,1.15625,397,0
31306,0.3,1.15625,396.9,0
31307,0.3,1.34375,394.2,25
31308,0.3,1.34375,381.4,130
31309,0.3,1.46875,353.9,275
31310,0.3,2.34375,318.4,355
31311,0.3,2.4375,282.5,360
31312,0.3,2.53125,237.7,450
31313,0.3,2.625,184.8,530
31314,0.3,2.84375,126.5,585
31315,0.3,3.21875,73.2,535
31316,0.3,0.09375,2,0
31317,0.3,0,2.2,0
31318,0.3,-0.09375,1.9,0
31319,0.3,-0.09375,1.8,0
31320,0.3,-0.1875,1.5,0
31321,0.3,-0.1875,1.4,0
31322,0.3,-0.1875,1.5,0
31323,0.3,-0.28125,1.5,0
31324,0.3,-0.1875,1.5,0
31325,14.7,-2.9375,0.5,0
31326,10.5,-2.4375,0.5,0
31327,9.6,-1.9375,0.7,0
31328,9.9,-1.9375,0.8,0
31329,9.9,-1.9375,0.8,0
31330,9.9,-1.9375,0.8,0
31331,7.8,-1.84375,0.8,0
31332,1.8,-0.5625,0.9,0
31333,0,0.1875,0.9,0
31334,0.3,0.1875,1.2,5
31335,0.3,0.28125,2.2,10
31336,0.3,0.1875,7.6,55
31337,0.3,0.28125,19.7,130
31338,0.3,0.28125,42.1,205
31339,0.3,0.375,67.3,250
31340,0.3,0.5625,93.7,265
31341,0.3,0.78125,116.6,255
31342,0.3,0.78125,144.1,275
31343,0.3,0.875,175.3,310
31344,0.3,1.0625,204.2,290
31345,0.3,1.46875,216.3,120
31346,0.3,2.03125,217.2,0
31347,0.3,2.84375,217.2,0
31348,0.3,2.84375,217.2,0
31349,0.3,2.9375,217.2,0
31350,0.3,2.9375,216.9,5
31351,0.3,2.84375,214.3,25
31352,0.3,2.84375,204.7,95
31353,0.3,2.9375,186.7,180
31354,0.3,2.9375,160.4,265
31355,0.3,2.84375,129.6,310
31356,0.3,2.53125,99.4,300
31357,0.3,2.625,72.1,275
31358,0.3,2.53125,47.5,245
31359,0.3,2.71875,26.1,215
31360,0.3,2.53125,5.7,205
31361,0.3,2.03125,13,185
31362,0.3,1.75,29.7,165
31363,14.4,-2.71875,2.5,0
31364,14.4,-2.625,3,5
31365,14.7,-2.71875,3.3,5
31366,14.7,-2.84375,3.3,0
31367,15,-2.84375,3.3,0
31368,15,-2.84375,3.3,0
31369,14.7,-2.9375,3.3,0
31370,13.8,-2.84375,3.4,0
31371,9.9,-2.15625,3.4,0
31372,9.3,-1.9375,3.4,0
31373,9.3,-1.84375,3.5,0
31374,7.5,-0.875,3.7,0
31375,-0.3,0.28125,5.5,20
31376,0.3,0.1875,11.7,60
31377,0.3,0.28125,25.1,135
31378,0.3,0.28125,46.9,220
31379,0.3,0.1875,72.3,280
31380,0.3,0.375,103.2,280
31381,0.3,0.875,130,270
31382,0.3,0.78125,157.1,270
31383,0.3,0.875,185.9,290
31384,0.3,1.0625,208.5,255
31385,0.3,1.34375,225,165
31386,0.3,1.25,234.4,95
31387,0.3,1.34375,244.7,105
31388,0.3,1.34375,256.6,120
31389,0.3,1.46875,269.1,125
31390,0.3,1.84375,279.8,105
31391,0.3,2.25,283.6,40
31392,0.3,2.71875,282.3,10
31393,0.3,2.9375,278.4,40
31394,0.3,2.9375,268.5,100
31395,0.3,2.9375,247.4,210
31396,0.3,3.03125,217.7,295
31397,0.3,3.03125,184.4,335
31398,0.3,2.71875,147.6,370
31399,0.3,2.625,108.5,390
31400,0.3,2.625,69.1,395
31401,0.3,2.4375,31.8,375
31402,0.3,2.34375,0.2,315
31403,12,-2.15625,3.6,15
31404,12,-2.15625,5.5,20
31405,0.3,0.46875,1,0
31406,0.3,0.1875,1.1,0
31407,0.3,0.09375,1.1,0
31408,0.3,0.1875,1.1,0
31409,0.3,0.1875,0.9,0
31410,0.3,0.28125,0.7,0
31411,0.3,0,7.7,130
31412,0.3,0,19.3,115
31413,0.3,0.09375,15.8,205
31414,0.3,0.09375,3.5,195
31415,0.3,0.09375,20.3,170
31416,0.3,0,30.6,105
31417,59.1,-8.53125,2.6,0
31418,56.1,-8.8125,2.6,0
31419,51.6,-8.4375,2.5,0
31420,45.6,-7.34375,2.4,0
31421,42.3,-7.0625,2.4,0
31422,42,-7.15625,2.1,5
31423,38.1,-7.0625,1.9,0
31424,23.1,-4.90625,1.9,0
31425,1.8,0.46875,1.9,0
31426,-0.3,0.46875,2.1,0
31427,0.3,0,2.6,5
31428,0.3,0.28125,11.8,90
31429,0.3,0.375,43.7,320
31430,0.3,0.28125,92.7,490
31431,0.3,0.28125,150.9,580
31432,0.3,0.28125,215.6,645
31433,0.3,0.375,269.3,535
31434,0.3,-0.375,0.2,10
31435,0.3,-0.375,0.6,5
31436,0.3,-0.375,0.5,0
31437,0.3,-0.375,0.5,0
31438,0.3,-0.375,0.8,5
31439,0.3,-0.28125,0.7,0
31440,0.3,-0.28125,0.7,0
31441,0.3,-0.375,0.9,0
31442,0.3,-0.375,1.2,5
31443,0.3,-0.28125,1.2,0
31444,0.3,-0.375,1.2,0
31445,0.3,-0.375,1.1,0
31446,0.3,-0.375,1,0
31447,0.3,-0.375,1,0
31448,0.3,-0.375,0.9,0
31449,0.3,-0.375,0.9,0
31450,0.3,-0.375,1,0
31451,0.3,-0.375,1,0
31452,0.3,-0.375,1.2,0
31453,0.3,-0.09375,1.1,0
31454,0.3,-0.09375,0.9,0
31455,0.3,-0.09375,0.5,15
31456,0.3,0,1.9,15
31457,0.3,0,1.8,0
31458,0.3,0,1.8,0
31459,0.3,0,1.7,0
31460,0.3,0,1.7,0
31461,0.3,0,1.7,0
31462,0.3,0,1.6,0
31463,0.3,0,1.7,0
31464,0.3,-0.09375,1.6,0
31465,0.3,-0.09375,1.4,0
31466,0.3,-0.1875,0.9,5
31467,0.3,-0.09375,0.6,5
31468,0.3,-0.1875,0.1,5
31469,0.3,-0.28125,0.7,10
31470,0.3,-0.28125,1.2,5
31471,0.3,-0.28125,3.4,0
31472,73.5,-9.8125,0.9,0
31473,73.5,-10,0.8,0
31474,70.2,-10.1875,0.7,0
31475,59.4,-9.59375,0.3,5
31476,52.5,-8.8125,0.3,0
31477,45.3,-8.125,0.2,0
31478,31.5,-6.84375,0.3,0
31479,13.5,-4.6875,0.5,0
31480,-0.3,-2.03125,0.8,5
31481,-0.3,-0.65625,0.9,0
31482,0.3,-0.28125,1,0
31483,0.3,0,2.7,15
31484,0.3,0,19.8,170
31485,0.3,0,57.3,375
31486,0.3,0,106,485
31487,0.3,0.1875,159.6,535
31488,0.3,0.375,217.1,575
31489,0.3,0.28125,270.3,530
31490,0.3,0.28125,299.7,295
31491,0.3,0.28125,329.9,300
31492,0.3,0.28125,359.6,295
31493,0.3,0.78125,387.5,280
31494,0.3,1.0625,411.6,240
31495,0.3,1.15625,428.3,165
31496,0.3,1.25,437.8,95
31497,0.3,1.0625,443.5,55
31498,0.3,1.15625,444.4,10
31499,0.3,1.0625,444.4,0
31500,0.3,1.25,443.3,10
31501,0.3,1.15625,439.1,40
31502,0.3,1.15625,421.2,180
31503,0.3,1.46875,387.2,340
31504,0.3,2.03125,350.1,370
31505,0.3,2.25,303.7,465
31506,0.3,-0.28125,1.3,0
31507,0.3,-0.375,1.4,0
31508,0.3,-0.28125,1.4,0
31509,7.8,-1.5625,1.1,0
31510,7.5,-1.5625,1.5,5
31511,-0.3,-0.5625,4,25
31512,0.3,-0.09375,10.5,65
31513,0.3,0,21.1,115
31514,0.3,0.09375,37.3,160
31515,0.3,0,60.4,230
31516,0.3,0.46875,89.8,295
31517,0.3,0.46875,125.9,360
31518,0.3,0.65625,168.4,425
31519,0.3,0.65625,208.6,400
31520,0.3,0.875,239.3,305
31521,0.3,1.0625,261.7,225
31522,0.3,1.25,276.4,145
31523,0.3,1.25,282.4,60
31524,0.3,1.34375,282,5
31525,0.3,1.65625,279.8,20
31526,0.3,2.03125,279.1,5
31527,0.3,2.53125,278.6,5
31528,0.3,2.84375,271.1,75
31529,0.3,3.125,251.6,195
31530,0.3,3.21875,223.4,280
31531,0.3,3.3125,191.5,320
31532,0.3,3.40625,157.3,340
31533,0.3,3.3125,122.9,345
31534,0.3,3.03125,91.9,310
31535,0.3,2.9375,61.4,305
31536,0.3,2.9375,31.4,300
31537,0.3,2.625,2.5,290
31538,3.9,-0.65625,3,10
31539,3,-0.65625,5.4,25
31540,-0.3,-0.28125,11.1,55
31541,0.3,-0.09375,21,100
31542,0.3,0,36.8,160
31543,0.3,0,59.4,225
31544,0.3,0,86,265
31545,0.3,0.375,113.1,295
31546,0.3,0.46875,153.4,370
31547,0.3,0.65625,194.4,410
31548,0.3,0.5625,232.1,375
31549,0.3,0.78125,258.8,305
31550,0.3,0.78125,279.7,185
31551,0.3,0.96875,287.5,80
31552,0.3,1.0625,286.4,15
31553,0.3,1.25,280.8,55
31554,0.3,1.46875,274.2,75
31555,0.3,1.65625,265.5,85
31556,0.3,1.9375,254,115
31557,0.3,2.34375,236.2,180
31558,0.3,2.71875,212.5,235
31559,0.3,2.71875,185.3,270
31560,0.3,2.9375,156.9,285
31561,0.3,3.03125,128,290
31562,0.3,2.84375,98.9,290
31563,0.3,2.625,69.5,295
31564,0.3,2.4375,41.1,285
31565,0.3,2.53125,15,260
31566,0.3,2.34375,9.6,245
31567,0,0.375,1.9,0
31568,0,0.09375,1.8,0
31569,0,0.09375,1.5,5
31570,0,0.28125,1.6,0
31571,0,0.375,1.8,150
31572,0,0.5625,10.4,120
31573,0,0.375,19.4,90
31574,0,0.65625,19.3,145
31575,0,0.5625,32.1,130
31576,0,0.46875,42,100
31577,0.3,0.46875,47.4,55
31578,65.7,-9,1.8,5
31579,65.4,-9.3125,1.5,5
31580,64.5,-9.40625,1.4,0
31581,57.9,-8.90625,1.1,5
31582,46.2,-7.84375,1,0
31583,42.6,-7.15625,1,0
31584,42,-7.4375,1,0
31585,26.1,-6.28125,0.8,0
31586,6.3,-3.125,0.8,0
31587,-0.3,-0.78125,1.2,5
31588,0.3,-0.375,2.6,15
31589,0.3,-0.09375,10.5,80
31590,0,-0.09375,34.8,245
31591,0.3,0,72.8,380
31592,0,0.65625,115.8,430
31593,0,0.875,167,510
31594,0,0.65625,223.1,560
31595,0.3,0.1875,259.5,365
31596,0,1.25,293.7,340
31597,0.3,0.96875,332.2,385
31598,0.3,1.34375,368.5,365
31599,0,1.9375,391.7,230
31600,0,2.625,403,115
31601,0.3,3.03125,404.1,5
31602,0.3,3.21875,400.5,35
31603,0.3,3.21875,388.3,120
31604,0,3.125,358.3,300
31605,0.3,3.125,316.3,420
31606,0,3.40625,272.3,440
31607,0.3,3.625,221.7,505
31608,0,3.53125,164,575
31609,0,3.3125,104.8,590
31610,0,3.125,65,400
31611,0.3,0.375,25.8,0
31612,0,0.375,25.9,0
31613,0.3,0.46875,25.9,0
31614,0.3,0.375,25.9,0
31615,0.3,0.5625,25.9,0
31616,31.2,-6.28125,1.9,5
31617,21.3,-5.09375,2.2,5
31618,5.1,-3.21875,2.1,0
31619,-0.3,-0.65625,1.6,5
31620,0,0.09375,0.2,15
31621,0,0.1875,4.9,50
31622,0.3,0.28125,23.4,185
31623,0.3,0.375,58.8,355
31624,0.3,0.28125,100.5,415
31625,0,0.375,147.9,475
31626,0.3,0.65625,199.2,515
31627,0,0.5625,238.3,390
31628,0.3,0.78125,264.7,265
31629,0.3,0.78125,297.2,325
31630,0,0.875,329.6,325
31631,0.3,0.96875,358,285
31632,0.3,1.15625,376.3,185
31633,0,1.34375,382.1,60
31634,0.3,1.34375,381.5,10
31635,0,1.84375,378.8,25
31636,0,2.15625,373.9,50
31637,0.3,2.53125,359.1,150
31638,0,2.71875,333.6,255
31639,0.3,2.9375,302.2,315
31640,0,3.03125,269.5,325
31641,0,3.125,230,395
31642,0.3,3.125,184.7,455
31643,0.3,2.4375,137.1,475
31644,0,2.25,90.2,470
31645,0,3.625,57.4,330
31646,0.3,3.8125,23.7,335
31647,0.3,-0.375,2.8,0
31648,0.3,-0.375,2.7,0
31649,0.3,-0.375,2.4,5
31650,0.3,-0.375,2.3,0
31651,0.3,-0.375,2.3,0
31652,0.3,0.1875,1.8,0
31653,0.3,0,1.2,5
31654,0.3,0,1,0
31655,0.3,0,0.5,5
31656,0.3,-0.28125,12.2,15
31657,0.3,2.34375,206.2,20
31658,0.3,2.34375,202.5,35
31659,0.3,2.34375,196.4,60
31660,0.3,2.34375,186.5,100
31661,0,2.34375,172.2,145
31662,0.3,2.4375,153.6,185
31663,0.3,2.34375,130.9,225
31664,0.3,2.25,107.9,230
31665,0.3,2.15625,87.4,205
31666,0.3,2.15625,68.5,190
31667,0.3,2.25,49.8,185
31668,0.3,2.34375,32.2,175
31669,0.3,2.15625,16,160
31670,0.3,2.03125,1.1,150
31671,0.3,1.5625,12.2,135
31672,14.7,-2.71875,2.6,0
31673,12.9,-2.625,2.3,5
31674,10.5,-2.15625,2,5
31675,10.8,-2.03125,1.8,0
31676,10.8,-2.03125,1.9,0
31677,10.8,-2.03125,1.8,0
31678,11.1,-2.03125,1.8,0
31679,11.4,-2.03125,1.7,0
31680,11.4,-2.15625,1.7,0
31681,11.4,-2.03125,1.7,0
31682,11.4,-2.15625,1.7,0
31683,11.4,-2.03125,1.8,0
31684,11.7,-1.15625,2,0
31685,7.8,0.65625,2,0
31686,8.7,0.78125,2,0
31687,8.4,0.28125,2,0
31688,8.7,-0.375,2.1,0
31689,8.7,-0.09375,2.1,0
31690,8.7,0.28125,2.2,0
31691,8.7,0.1875,2.2,0
31692,8.7,0,2.3,0
31693,8.7,-0.09375,2.2,0
31694,8.7,0.09375,2.3,0
31695,9,0.09375,2.3,0
31696,9,0,2.3,0
31697,9,0,2.4,0
31698,9,0,2.4,0
31699,9.3,0,2.4,0
31700,9.3,0,2.4,0
31701,9.3,0,2.4,0
31702,9.3,0,2.5,0
31703,9.6,0,2.5,0
31704,9.6,0,2.6,0
31705,9.6,0,2.6,0
31706,9.6,0,2.7,0
31707,9.6,0,2.7,0
31708,9.6,0,3,5
31709,9,0,3.4,5
31710,7.2,0,3.8,5
31711,5.1,0,4.5,5
31712,0.9,0,7.3,30
31713,0,0.1875,14.5,70
31714,0.3,0.1875,29.4,150
31715,0.3,0.28125,56.9,275
31716,0.3,0.28125,95.2,385
31717,0.3,0.375,143.5,485
31718,0.3,0.375,197,535
31719,0.3,0.46875,241.8,450
31720,0.3,0.46875,265.2,235
31721,0.3,0.65625,291.6,265
31722,0.3,0.65625,319,275
31723,0.3,0.78125,345.5,265
31724,0.3,0.96875,368.2,225
31725,0,1.15625,384.1,160
31726,0.3,1.34375,391.1,70
31727,0.3,1.84375,391.7,5
31728,0.3,1.75,390.8,10
31729,0.3,1.75,388,30
31730,0.3,1.75,377.8,100
31731,0.3,1.75,354.3,235
31732,0.3,2.03125,321.6,325
31733,0,2.25,287.9,335
31734,0.3,2.15625,251.1,370
31735,0.3,2.15625,210.8,405
31736,0.3,2.15625,168.6,420
31737,0.3,2.03125,125.9,425
31738,0,2.15625,88.4,375
31739,0.3,2.15625,61.4,270
31740,0.3,1.9375,31.2,300
31741,0.3,2.03125,0.2,310
31742,0.3,2.15625,28,280
31743,0.3,1.9375,55.4,275
31744,0.3,1.84375,78.7,235
31745,0.3,1.75,95.3,165
31746,0.3,1.15625,105.2,100
31747,0.3,0.96875,111.2,60
31748,0.3,-0.09375,3.7,5
31749,0.3,-0.09375,3,5
31750,0.3,-0.1875,2.4,5
31751,0.3,-0.09375,2.5,0
31752,0.3,-0.1875,2.5,0
31753,0.3,-0.1875,2.5,0
31754,0.3,-0.375,2.6,0
31755,0.3,-0.375,2.5,0
31756,0.3,-0.375,2.6,0
31757,0.3,-0.28125,2.6,0
31758,15.3,-0.09375,3.1,0
31759,15.3,-0.09375,3.1,0
31760,15.3,-0.09375,3.4,0
31761,15.3,-0.09375,3.4,0
31762,15.3,-0.09375,3.4,0
31763,15.3,-0.09375,3.4,0
31764,15.3,-0.09375,3.4,0
31765,15.3,-0.09375,3.3,0
31766,15.3,-0.09375,3.3,0
31767,15.3,-0.09375,3.3,0
31768,15.3,-0.09375,3.3,0
31769,0.3,0.46875,0.4,0
31770,0,0.375,0.4,0
31771,0,0.1875,0.5,0
31772,0,0.1875,0.4,0
31773,0,0.28125,0.4,0
31774,66.9,-8.90625,0.1,0
31775,66.6,-8.90625,0.2,0
31776,66.6,-9,0.5,5
31777,66.3,-9.3125,0.7,0
31778,65.4,-9.125,0.6,0
31779,56.7,-8.8125,0.6,0
31780,50.7,-8.3125,0.4,0
31781,46.2,-8.03125,0.3,0
31782,40.2,-7.4375,0.3,0
31783,29.4,-6.0625,0.3,0
31784,9.6,-0.5625,0.2,5
31785,-0.6,0.5625,0.9,0
31786,0,0,0,10
31787,0,0.1875,1.1,0
31788,0,0.375,0.4,5
31789,0,0.1875,0.4,0
31790,0.3,0.28125,8.2,85
31791,0.3,-0.46875,1.4,0
31792,0.3,-0.375,1.4,0
31793,0.3,-0.375,1.4,0
31794,0,-0.375,1.4,0
31795,0.3,-0.375,1.4,0
31796,0.3,-0.375,1.3,0
31797,0.3,-0.375,1.3,0
31798,0.3,-0.375,1.3,0
31799,0,-0.375,1.2,0
31800,0,-0.375,1.2,0
31801,0.3,-0.375,1.2,0
31802,0.3,-0.28125,1.2,0
31803,0.3,-0.375,1.2,0
31804,45.3,-7.75,2.8,0
31805,42.3,-7.15625,2.7,0
31806,37.2,-7.0625,2.6,0
31807,29.4,-6.15625,2.5,0
31808,24,-5.28125,2.4,0
31809,23.4,-4.90625,2.1,5
31810,5.1,-3.8125,1,0
31811,-0.6,-1.0625,1.2,0
31812,0.3,-0.09375,1.2,0
31813,0.3,0,14.8,135
31814,0.3,0.09375,59.2,415
31815,0.3,0.28125,112.9,535
31816,0.3,0.375,170.9,580
31817,0,0.78125,221.8,570
31818,0.3,0.78125,273.2,460
31819,0.3,0.96875,305,320
31820,0.3,1.25,330,250
31821,0.3,1.46875,349.1,215
31822,0.3,1.75,363.3,120
31823,0,2.03125,362.3,20
31824,0,2.53125,345.9,165
31825,0,3.03125,323.1,250
31826,0.3,3.8125,294,265
31827,0.3,4.5,263.9,300
31828,0,4.40625,228.9,350
31829,0,4.5,191.4,375
31830,0,4.5,152.6,390
31831,0,4.5,111.4,410
31832,0,4.09375,65.7,455
31833,0.3,3.8125,18.6,470
31834,0,4,19.8,385
31835,0.3,3.8125,40.4,205
31836,0.3,0.09375,5,10
31837,0.3,0.1875,4.9,0
31838,0.3,0.1875,4.8,0
31839,0.3,0.28125,21.5,0
31840,0.3,0.28125,21.4,0
31841,0.3,0.28125,20.5,10
31842,0.3,0.28125,18.7,20
31843,0.3,0.1875,222.6,195
31844,0.3,0.375,235.5,130
31845,0,0.875,236.9,5
31846,0.3,1.46875,232.2,45
31847,0.3,1.5625,224.1,80
31848,0.3,1.75,209.8,145
31849,0.3,2.03125,187.4,225
31850,0.3,2.15625,161,265
31851,0.3,2.25,135.6,255
31852,0.3,2.25,111.7,240
31853,0,2.4375,88.8,230
31854,0.3,2.4375,64.6,240
31855,0.3,2.25,38.7,260
31856,0.3,2.34375,12.4,265
31857,0.3,2.34375,13.4,260
31858,26.7,-4.59375,4,0
31859,26.4,-4.59375,4.7,5
31860,23.7,-4.3125,6,15
31861,22.8,-4.09375,7.6,15
31862,21.3,-4,9.9,25
31863,19.8,-3.8125,12.6,25
31864,18.9,-3.71875,15.5,30
31865,16.2,-3.40625,19.3,40
31866,13.2,-2.84375,25.4,60
31867,9.9,-2.34375,33.4,80
31868,4.8,-1.46875,44,105
31869,0,-0.46875,57,130
31870,0.3,-0.09375,74.1,170
31871,0.3,0,97.5,235
31872,0.3,0,132,345
31873,0.3,0,175.1,430
31874,0.3,0,218.1,430
31875,0.3,0.46875,254,360
31876,0.3,0.5625,283.3,295
31877,0.3,0.65625,306.4,230
31878,0.3,0.78125,323.1,165
31879,0.3,1.0625,338.2,150
31880,0.3,1.15625,352.4,140
31881,0.3,1.15625,355.4,10
31882,0.3,1.25,341.4,140
31883,0.3,1.46875,314.9,265
31884,0.3,1.9375,291.5,235
31885,0.3,2.25,272.9,185
31886,0.3,2.4375,254,190
31887,0.3,2.84375,232.7,215
31888,0.3,2.71875,206.3,265
31889,0.3,2.9375,173.5,330
31890,0.3,3.125,133.8,395
31891,0.3,3.125,92.8,410
31892,0.3,2.84375,54.2,385
31893,0.3,2.625,19.3,350
31894,0,0.09375,2,10
31895,0,0,1,10
31896,0.3,0,0.9,0
31897,0.3,0,0.9,0
31898,0,1.0625,6.2,170
31899,0,0.96875,7.7,140
31900,0,0.875,18.6,110
31901,0.3,0,2.3,175
31902,0.3,0,13.4,155
31903,0.3,0,27.1,135
31904,0,0,36.3,90
31905,0.3,-0.28125,0.8,0
31906,0,-0.28125,0.8,0
31907,0.3,-0.28125,0.8,0
31908,0.3,-0.28125,0.8,0
31909,0.3,-0.375,0.8,0
31910,0.3,-0.375,0.4,5
31911,0.3,-0.375,0.3,0
31912,0.3,-0.375,0.4,0
31913,0.3,-0.375,0.5,0
31914,0,-0.375,0.7,0
31915,0.3,-0.375,0.6,0
31916,0.3,-0.375,0.3,5
31917,0.3,-0.28125,0.2,0
31918,0.3,-0.375,0,0
31919,0,-0.5625,0.4,5
31920,0.3,-0.375,0.4,0
31921,0.3,-0.28125,0.4,0
31922,0.3,-0.375,0.7,5
31923,0.3,-0.28125,0.8,0
31924,0.3,-0.375,0.8,0
31925,0.3,-0.375,0.9,0
31926,0.3,-0.375,1.1,0
31927,0,-0.375,1.5,5
31928,0.3,-0.28125,1.7,0
31929,0.3,-0.375,1.7,0
31930,0.3,-0.46875,1.4,0
31931,0.3,-0.375,1.2,0
31932,0.3,-0.375,1.1,0
31933,48.6,-7.9375,0.4,0
31934,46.2,-7.625,0.3,0
31935,43.5,-7.53125,0.3,0
31936,39.6,-7.25,0.3,0
31937,28.8,-6.65625,0.3,0
31938,10.8,-4.5,0.2,0
31939,-0.6,-1.75,0.5,0
31940,0.3,-0.5625,1.6,10
31941,0.3,-0.28125,11.5,100
31942,0.3,-0.09375,37.8,265
31943,0.3,-0.09375,69.5,315
31944,0,-0.09375,116.5,470
31945,0.3,0,166.1,495
31946,0,0.09375,215.6,495
31947,0.3,0.09375,262,465
31948,0.3,0.28125,295.1,330
31949,0.3,0.375,330.3,350
31950,0,0.28125,364.8,345
31951,0,0.5625,391.2,265
31952,0,0.65625,405.5,145
31953,0.3,0.96875,410,0
31954,0.3,1.0625,407.2,30
31955,0.3,1.34375,399.7,75
31956,0.3,1.34375,386.9,130
31957,0.3,1.46875,362.8,240
31958,0.3,1.84375,330.3,325
31959,0,2.03125,291.4,390
31960,0.3,2.4375,245,465
31961,0.3,2.53125,193.9,510
31962,0.3,2.625,139.3,545
31963,0,2.625,99.5,400
31964,0,2.84375,69.1,305
31965,78.3,-9.90625,0.1,0
31966,77.7,-9.90625,0.1,0
31967,73.5,-10.1875,0.2,0
31968,70.5,-10.09375,0.2,0
31969,66.3,-9.6875,0.3,0
31970,60,-9.59375,0.3,0
31971,50.1,-8.90625,0.5,0
31972,32.7,-6.75,0.7,0
31973,18.6,-4.40625,0.7,0
31974,10.8,-2.84375,0.6,0
31975,-0.3,-0.46875,0.3,5
31976,0,0.375,0.8,0
31977,0.3,0.28125,0.6,0
31978,0.3,0.1875,0.2,5
31979,0.3,0,15.2,15
31980,0.3,-0.1875,80.8,345
31981,0.3,-0.28125,116.3,355
31982,0.3,-0.28125,151.6,355
31983,0.3,-0.09375,186.9,355
31984,0.3,-0.09375,212.7,260
31985,0.3,0,221,85
31986,0.3,0.09375,220,10
31987,0.3,0.28125,217.6,25
31988,0.3,0.65625,212.9,45
31989,0.3,1.15625,203.4,95
31990,0.3,1.5625,184.8,185
31991,0.3,2.25,158.6,260
31992,0.3,2.71875,129.8,290
31993,0.3,3.125,100.8,290
31994,0.3,3.3125,72.2,285
31995,0,3.21875,44.2,280
31996,0.3,3.21875,17.1,270
31997,0.3,3.3125,7.4,245
31998,0.3,3.03125,29.8,225
31999,0.3,0,40.1,210
32000,0.3,0,68.4,285
32001,0.3,0.1875,101.3,330
32002,0.3,0.28125,140.1,390
32003,0.3,0.375,180.4,405
32004,0.3,0.375,219.7,395
32005,0.3,0.78125,244.5,250
32006,0.3,1.0625,264.6,200
32007,0.3,1.25,284.6,200
32008,0.3,1.25,300.4,160
32009,0.3,1.46875,306,55
32010,0.3,2.03125,302.9,30
32011,0.3,2.34375,291.2,115
32012,0.3,2.71875,266.6,245
32013,0.3,3.3125,232.1,345
32014,0.3,3.625,193.4,385
32015,0.3,3.90625,149.6,440
32016,0.3,3.71875,104.1,455
32017,0.3,3.625,60.6,435
32018,0.3,3.71875,28.2,325
32019,0,3.3125,3.5,245
32020,0.3,3.03125,22.6,260
32021,0.3,3.03125,46.3,235
32022,0.3,2.4375,63.6,175
32023,0.3,2.15625,74.4,110
32024,0.3,2.25,82.4,80
32025,6,-1.15625,64,100
32026,7.2,-1.15625,52.2,120
32027,7.8,-1.34375,42.4,100
32028,9.3,-1.5625,34.3,80
32029,10.2,-1.65625,27.4,70
32030,10.8,-1.75,18.8,85
32031,11.1,-1.75,9.5,95
32032,12,-1.84375,0.6,100
32033,12.3,-1.9375,9.9,95
32034,12.3,-2.03125,15.7,60
32035,12.3,-2.03125,16.6,0
32036,12.6,-1.9375,15.3,15
32037,12.6,-2.03125,13.7,15
32038,12.6,-2.03125,10.7,30
32039,12.6,-2.03125,7.3,35
32040,12.6,-2.03125,4.8,25
32041,12.6,-2.03125,4.1,5
32042,11.4,-1.9375,4.1,0
32043,7.5,-1.34375,4.1,0
32044,7.5,-1.15625,4.1,0
32045,7.8,-0.875,4.1,0
32046,9,-0.78125,4.1,0
32047,9.9,0,4.1,0
32048,12.6,0.09375,4.2,0
32049,12.6,-0.1875,3.7,5
32050,12.6,-0.09375,3.7,0
32051,12.9,0,3.9,0
32052,13.2,0,4.7,10
32053,13.2,0,4.6,0
32054,13.2,-0.09375,4.6,0
32055,13.2,0,4.6,0
32056,13.2,0,4.6,0
